左侧,右侧,支持度,置信度,提升度
['nlp'],['python'],0.0025048705816866127,0.2727272727272727,1.6552518427518426
['javascript'],['coronavirus tracking'],0.01697745616476482,0.2040133779264214,0.855332633476817
['nodejs'],['javascript'],0.01224603395491233,0.3548387096774194,4.263998273815946
['django'],['coronavirus tracking'],0.003339827442248817,0.2181818181818182,0.914734273894134
['coronavirus real time'],['coronavirus tracking'],0.05733370442527136,0.8477366255144032,3.5541630052196624
['coronavirus tracking'],['coronavirus real time'],0.05733370442527136,0.24037339556592766,3.5541630052196624
['api'],['coronavirus tracking'],0.015029223490119677,0.2755102040816327,1.155085371371419
['open data'],['covid19 data'],0.003896465349290287,0.45161290322580644,2.6557203949105115
['epidemiology'],['covid19 data'],0.003339827442248817,0.24,1.4113256955810147
['pandemic'],['epidemic'],0.004174784302811021,0.2112676056338028,25.302816901408452
['epidemic'],['pandemic'],0.004174784302811021,0.5,25.302816901408452
['epidemic'],['epidemiology'],0.002226551628165878,0.26666666666666666,19.162666666666667
['vue'],['vuejs'],0.003896465349290287,0.4117647058823529,36.98676470588235
['vuejs'],['vue'],0.003896465349290287,0.35,36.98676470588235
['flutter apps'],['flutter'],0.06707486779849708,0.9757085020242916,11.164715438768408
['flutter'],['flutter apps'],0.06707486779849708,0.7675159235668791,11.164715438768408
['visualization'],['python'],0.009741163373225717,0.35,2.124239864864865
['flutter apps'],['coronavirus tracking'],0.019760645699972167,0.2874493927125506,1.2051408028193633
['dart'],['flutter apps'],0.057055385471750625,0.8760683760683761,12.743780061593826
['flutter apps'],['dart'],0.057055385471750625,0.8299595141700404,12.743780061593826
['dart'],['coronavirus tracking'],0.01753409407180629,0.2692307692307693,1.1287586392603897
['dart'],['flutter'],0.06429167826328973,0.9871794871794872,11.295974195655726
['flutter'],['dart'],0.06429167826328973,0.7356687898089173,11.295974195655726
['flutter'],['coronavirus tracking'],0.02811021430559421,0.32165605095541405,1.348553315149128
['coronavirus info'],['coronavirus tracking'],0.03645978291121625,0.7359550561797752,3.0855151888610646
['coronavirus globaloutbreak'],['coronavirus tracking'],0.010297801280267187,0.880952380952381,3.6934211257431797
['coronavirus real time'],['coronavirus info'],0.025883662677428334,0.38271604938271603,7.725273963101678
['coronavirus info'],['coronavirus real time'],0.025883662677428334,0.5224719101123596,7.725273963101679
['coronavirus globaloutbreak'],['coronavirus real time'],0.006957973838018369,0.5952380952380952,8.80119537526945
['coronavirus globaloutbreak'],['coronavirus info'],0.007236292791539103,0.6190476190476191,12.495719636169074
['reactjs'],['react'],0.19983300862788755,0.8427230046948356,3.5085790913888117
['react'],['reactjs'],0.19983300862788755,0.831981460023175,3.5085790913888117
['typescript'],['reactjs'],0.003896465349290287,0.27450980392156865,1.1576452177114978
['typescript'],['react'],0.004453103256331756,0.3137254901960784,1.3061595437711586
['data visualization'],['python'],0.009741163373225717,0.29411764705882354,1.7850755166931638
['virus'],['pandemic'],0.002226551628165878,0.26666666666666666,13.494835680751175
['coronavirus analysis'],['coronavirus real time'],0.015029223490119677,0.4090909090909091,6.048821548821548
['coronavirus real time'],['coronavirus analysis'],0.015029223490119677,0.2222222222222222,6.048821548821549
['android'],['coronavirus tracking'],0.02393543000278319,0.41148325358851673,1.7251567446249014
['android'],['kotlin'],0.012524352908433064,0.21531100478468898,14.0656807307525
['kotlin'],['android'],0.012524352908433064,0.8181818181818182,14.0656807307525
['kotlin'],['coronavirus tracking'],0.005009741163373225,0.32727272727272727,1.3721014108412009
['javascript'],['react'],0.028945171166156414,0.34782608695652173,1.4481334072245453
['javascript'],['reactjs'],0.03172836070136376,0.3812709030100334,1.607871308116256
['artificial intelligence'],['deep learning'],0.006957973838018369,0.5555555555555556,12.475694444444445
['coronavirus analysis'],['coronavirus tracking'],0.024770386863345394,0.6742424242424243,2.8267829991867335
['deep learning'],['machine learning'],0.01697745616476482,0.38125000000000003,8.895008116883117
['machine learning'],['deep learning'],0.01697745616476482,0.3961038961038961,8.895008116883117
['computer vision'],['machine learning'],0.0030615084887280824,0.24444444444444446,5.703174603174604
['nlp'],['machine learning'],0.003339827442248817,0.36363636363636365,8.484061393152302
['deep learning'],['computer vision'],0.009741163373225717,0.21874999999999997,17.46597222222222
['computer vision'],['deep learning'],0.009741163373225717,0.7777777777777778,17.46597222222222
['express'],['nodejs'],0.006679654884497634,0.75,21.731854838709676
['telegram bot'],['coronavirus tracking'],0.003339827442248817,0.2608695652173913,1.0937040231342905
['dataset'],['covid19 data'],0.01224603395491233,0.46808510638297873,2.7525855764877947
['r'],['covid19 data'],0.00584469802393543,0.42,2.4698199672667758
['data'],['covid19 data'],0.005009741163373225,0.22499999999999998,1.3231178396072012
['twitter'],['python'],0.0052880601168939605,0.5,3.034628378378378
['pandas'],['python'],0.011132758140829391,0.888888888888889,5.394894894894895
['matplotlib'],['python'],0.0064013359309769,0.92,5.583716216216216
['pandas'],['matplotlib'],0.0030615084887280824,0.24444444444444446,35.13155555555556
['matplotlib'],['pandas'],0.0030615084887280824,0.44,35.13155555555556
['coronavirus dataset'],['covid api'],0.0036181463957695517,0.3714285714285714,6.541876750700279
['coronavirus analysis'],['coronavirus info'],0.01642081825772335,0.44696969696969696,9.022259107933266
['coronavirus info'],['coronavirus analysis'],0.01642081825772335,0.33146067415730335,9.022259107933266
['covid api'],['coronavirus info'],0.013915947676036738,0.2450980392156863,4.947400308437983
['coronavirus info'],['covid api'],0.013915947676036738,0.2808988764044944,4.947400308437983
['covid api'],['coronavirus tracking'],0.02866685221263568,0.5049019607843137,2.116817672226417
