0,1,1.015459401
2,1,1.061254629
3,4,1.157645218
5,1,1.178316098
3,1,1.306159544
6,1,1.332282735
6,4,1.349483568
7,1,1.448133407
7,4,1.607871308
8,1,1.626321698
2,4,2.232601491
9,1,2.246905406
10,4,2.25918008
10,1,2.676460851
9,4,3.146117445
9,7,3.242607634
11,12,3.467477321
4,1,3.508579091
2,7,3.769952128
13,7,4.263998274
8,14,4.29784689
15,7,4.506270903
16,7,4.577799013
11,14,5.209511382
16,17,5.674076774
15,17,5.728635204
18,17,6.983479106
19,7,7.111937752
20,14,7.666429587
21,17,7.755690738
22,7,7.788616376
23,7,8.011148272
24,14,9.716871229
20,25,9.819921045
26,14,9.863910895
27,12,11.16471544
28,12,11.2959742
14,25,11.39653782
28,27,12.74378006
14,29,14.06568073
25,29,15.41430031
24,20,16.88836663
6,9,18.25015873
2,9,21.24712107
15,13,21.73185484
23,22,24.39691358
30,20,26.14449064
24,29,31.24347826
31,32,36.98676471
26,33,42.65291125
22,19,51.60015117
