source,aim,w
4.0,8.0,0.026508739199606647
4.0,9.0,0.030339733464197695
4.0,10.0,0.015220988371246988
4.0,11.0,0.012477275659690649
4.0,12.0,0.010910082779885257
4.0,13.0,0.002194016737515448
4.0,14.0,0.04179911134176203
4.0,17.0,0.054172897848788655
4.0,19.0,0.024992678998330013
4.0,20.0,0.040750611661720615
4.0,21.0,0.003294754314388876
4.0,22.0,0.007160230820921173
4.0,23.0,0.003669632112134076
4.0,24.0,0.016064175069566554
4.0,25.0,0.016731862035256367
4.0,27.0,0.003669632112134076
4.0,30.0,0.003364125170391893
4.0,31.0,0.004142287406178835
4.0,32.0,0.021413718081726003
4.0,33.0,0.025920889205435216
4.0,34.0,0.02663118206456537
4.0,35.0,0.06794070514643757
4.0,36.0,0.064241154245178
4.0,37.0,0.016059207023964656
4.0,38.0,0.023297431180480083
4.0,40.0,0.09174080280335192
4.0,41.0,0.016059207023964656
4.0,42.0,0.0042462940716523475
4.0,43.0,0.13971554060443575
4.0,44.0,0.011695217633781757
4.0,45.0,0.059373730581691736
4.0,47.0,0.014272774324466744
4.0,50.0,0.004659486236096015
4.0,52.0,0.04917107860304125
4.0,53.0,0.02950264716182475
4.0,54.0,0.010371995617579241
4.0,55.0,0.004973954926423642
4.0,56.0,0.019895819705694567
4.0,58.0,0.004142287406178835
4.0,59.0,0.010065640694646235
4.0,60.0,0.004973954926423642
4.0,61.0,0.014272774324466744
4.0,65.0,0.004917107860304124
4.0,70.0,0.016308201826336056
4.0,73.0,0.02718033637722676
4.0,75.0,0.027968335394351118
4.0,76.0,0.021413718081726003
4.0,77.0,0.03974450965493415
4.0,78.0,0.005362103730042052
4.0,79.0,0.005765820050180531
4.0,81.0,0.035148474174392284
4.0,82.0,0.011716158058130758
4.0,83.0,0.017574237087196142
4.0,87.0,0.011716158058130758
4.0,88.0,0.11095057636234604
4.0,91.0,0.006277029809622578
4.0,92.0,0.012113428212804356
4.0,95.0,0.006396603026469004
4.0,97.0,0.03217262238025232
4.0,98.0,0.006056714106402177
4.0,100.0,0.012793206052938008
4.0,102.0,0.006396603026469004
4.0,104.0,0.05117282421175203
5.0,6.0,0.4386255719772758
5.0,7.0,0.015094657659915087
5.0,8.0,0.11296449478972305
5.0,9.0,0.2386890755847017
5.0,10.0,0.2095567643725308
5.0,11.0,0.09407129998968408
5.0,12.0,0.2896827297511605
5.0,13.0,0.017260791941791497
5.0,14.0,0.03288424157779934
5.0,15.0,0.007172191381865586
5.0,16.0,0.017120376426704602
5.0,17.0,0.04261896013203415
5.0,18.0,0.024032803130483338
5.0,19.0,0.01843337545364437
5.0,20.0,0.05009275748152402
5.0,21.0,0.05832118435198042
5.0,22.0,0.07041380561383087
5.0,23.0,0.021652326748721033
5.0,24.0,0.2121382766334012
5.0,25.0,0.032908270986616237
5.0,26.0,0.01954034605868497
5.0,27.0,0.028869768998294708
5.0,28.0,0.0066881029492094
5.0,29.0,0.037037037037037035
5.0,30.0,0.09263198531617546
5.0,32.0,0.0168466231906423
5.0,33.0,0.016993758064486057
5.0,34.0,0.043648566739910334
5.0,35.0,0.008351622533364765
5.0,37.0,0.015792645655971143
5.0,38.0,0.02749286996141075
5.0,39.0,0.00842331159532115
5.0,40.0,0.014434884499147354
5.0,42.0,0.02505486760009429
5.0,43.0,0.00808214408281453
5.0,44.0,0.015334790207607871
5.0,45.0,0.008982800927271592
5.0,46.0,0.009259259259259259
5.0,47.0,0.028071730702217298
5.0,48.0,0.01670324506672953
5.0,49.0,0.020326714812905617
5.0,50.0,0.009164289987136916
5.0,51.0,0.009458405897319428
5.0,52.0,0.03868392354571063
5.0,53.0,0.01934196177285532
5.0,55.0,0.24456969620156216
5.0,56.0,0.04891393924031243
5.0,57.0,0.01694428559251163
5.0,58.0,0.05702943361941516
5.0,59.0,0.009898564515274978
5.0,61.0,0.01871448713481153
5.0,62.0,0.01656346649999844
5.0,64.0,0.009782787848062488
5.0,65.0,0.01934196177285532
5.0,66.0,0.03163859985841663
5.0,68.0,0.1456911262460413
5.0,69.0,0.030429030972509232
5.0,70.0,0.010691671651659736
5.0,71.0,0.02505486760009429
5.0,72.0,0.018144368465060574
5.0,73.0,0.021383343303319476
5.0,74.0,0.022003278732814983
5.0,75.0,0.06600983619844494
5.0,76.0,0.0168466231906423
5.0,77.0,0.022334173672426936
5.0,78.0,0.04218479981122218
5.0,79.0,0.01134023029066286
5.0,81.0,0.011521685497004726
5.0,82.0,0.034565056491014184
5.0,83.0,0.02304337099400945
5.0,85.0,0.03513641844631532
5.0,86.0,0.02342427896421021
5.0,87.0,0.02304337099400945
5.0,88.0,0.0242464322484436
5.0,89.0,0.011001639366407492
5.0,90.0,0.012345679012345678
5.0,91.0,0.04938271604938271
5.0,95.0,0.025161711869879904
5.0,96.0,0.02469135802469136
5.0,97.0,0.02109239990561109
5.0,98.0,0.02382472299639544
5.0,99.0,0.012580855934939952
5.0,100.0,0.012580855934939952
5.0,101.0,0.011712139482105107
5.0,103.0,0.012830005981991684
5.0,104.0,0.012580855934939952
5.0,105.0,0.02268046058132572
6.0,7.0,0.024713969163151852
6.0,8.0,0.05975402095327397
6.0,9.0,0.1166645473339205
6.0,10.0,0.2450715406979359
6.0,11.0,0.04218801499356069
6.0,12.0,0.3627422384861344
6.0,13.0,0.004945588740307846
6.0,14.0,0.04396953697158253
6.0,15.0,0.004109974682633932
6.0,16.0,0.031394282689703006
6.0,17.0,0.04273937576108645
6.0,18.0,0.020657747505613718
6.0,19.0,0.02112623670961153
6.0,20.0,0.005741061666394991
6.0,21.0,0.0371339460650026
6.0,22.0,0.08877031782049931
6.0,23.0,0.024815432277049264
6.0,24.0,0.04655656826595113
6.0,25.0,0.03017257145618857
6.0,27.0,0.0413590537950821
6.0,28.0,0.0229954269198126
6.0,29.0,0.021223817998900444
6.0,30.0,0.0985810776323988
6.0,31.0,0.028011705113493192
6.0,33.0,0.009738155563505966
6.0,35.0,0.02871503729627124
6.0,36.0,0.009653840941344685
6.0,37.0,0.01809973280466669
6.0,39.0,0.028961522824034056
6.0,40.0,0.00827181075901642
6.0,41.0,0.009049866402333346
6.0,42.0,0.01914335819751416
6.0,43.0,0.009262833572945472
6.0,44.0,0.026362486509824805
6.0,46.0,0.010611908999450224
6.0,47.0,0.042896829840336416
6.0,48.0,0.0239291977468927
6.0,49.0,0.03727386682888285
6.0,50.0,0.01050306602991154
6.0,52.0,0.022167554926073637
6.0,55.0,0.291509864768023
6.0,56.0,0.02242383575138638
6.0,57.0,0.019419611410990318
6.0,58.0,0.018674470075662128
6.0,59.0,0.011344607913018796
6.0,60.0,0.02242383575138638
6.0,61.0,0.010724207460084102
6.0,62.0,0.00949157995752499
6.0,65.0,0.07758644224125771
6.0,66.0,0.03626056179729389
6.0,67.0,0.008324666317641163
6.0,68.0,0.19082809733147846
6.0,69.0,0.011624763874381928
