coronavirus tracking,covid19 data,python,javascript,react,coronavirus real time,coronavirus info,reactjs,api,covid 19 india,covid api,android,coronavirus analysis,machine learning,data visualization,deep learning,flutter,nodejs,dataset,visualization,dashboard,data,pandemic,data science,india,flask,r,data analysis,jupyter notebook,java,android app,epidemiology,open source,tracker,css,typescript,firebase,ios,html,vuejs,react native,docker,kotlin,material ui,covid 19 italy,chartjs,computer vision,health,dart,flutter apps,artificial intelligence,pandas,webapp,bootstrap,simulation,coronavirus globaloutbreak,rest api,angular,django,statistics,nlp,tensorflow,vue,convolutional neural networks,time series,json,golang,bot,coronavirus dataset,plotly,open data,telegram bot,social distancing,app,epidemic,virus,brazil,express,php,healthcare,twitter,map,country,html5,mask,covid19 dataset,covid 19 brazil,italy,react hooks,swift,matplotlib,heroku,wirvsvirus,contact tracing,pytorch,website,retrofit2,graphql,cli,csv,hackathon,spring boot,prediction,beautifulsoup4,axios,keras
103.0,114.0,16.0,11.0,7.0,49.0,50.0,11.0,56.0,40.0,225.0,9.0,33.0,2.0,1.0,0.0,9.0,16.0,2.0,3.0,3.0,2.0,3.0,1.0,13.0,6.0,1.0,3.0,0.0,4.0,5.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,2.0,1.0,0.0,13.0,8.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0
86.0,16.0,1.0,1.0,6.0,23.0,9.0,3.0,7.0,34.0,9.0,246.0,2.0,0.0,1.0,0.0,39.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,22.0,2.0,0.0,0.0,0.0,33.0,59.0,0.0,4.0,6.0,0.0,2.0,8.0,35.0,0.0,0.0,16.0,0.0,45.0,1.0,4.0,0.0,0.0,7.0,19.0,24.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
89.0,58.0,17.0,5.0,4.0,54.0,59.0,4.0,5.0,20.0,33.0,2.0,143.0,6.0,7.0,8.0,2.0,4.0,6.0,3.0,6.0,4.0,6.0,6.0,7.0,3.0,1.0,10.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,30.0,2.0,3.0,1.0,0.0,2.0,4.0,0.0,4.0,2.0,1.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
12.0,13.0,54.0,4.0,1.0,4.0,1.0,3.0,0.0,5.0,2.0,0.0,6.0,221.0,5.0,61.0,1.0,0.0,7.0,4.0,0.0,1.0,6.0,9.0,2.0,4.0,2.0,3.0,9.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,11.0,1.0,0.0,0.0,17.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,12.0,12.0,0.0,12.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,2.0,1.0,9.0
24.0,33.0,35.0,7.0,15.0,6.0,7.0,6.0,3.0,14.0,1.0,1.0,7.0,5.0,137.0,1.0,0.0,2.0,5.0,14.0,11.0,10.0,6.0,20.0,6.0,1.0,8.0,28.0,8.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,7.0,2.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,9.0,41.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,8.0,61.0,1.0,320.0,1.0,0.0,18.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,25.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,29.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0
101.0,18.0,1.0,0.0,0.0,5.0,8.0,0.0,9.0,28.0,9.0,39.0,2.0,1.0,0.0,1.0,351.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,5.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,231.0,241.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
23.0,16.0,3.0,44.0,20.0,8.0,7.0,23.0,20.0,6.0,16.0,1.0,4.0,0.0,2.0,0.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,8.0,9.0,2.0,0.0,7.0,1.0,6.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,24.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0
10.0,44.0,10.0,1.0,0.0,4.0,3.0,0.0,6.0,3.0,2.0,0.0,6.0,7.0,5.0,18.0,1.0,1.0,114.0,1.0,3.0,14.0,3.0,9.0,1.0,1.0,5.0,7.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,11.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,9.0,4.0,0.0,0.0,6.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0
13.0,17.0,35.0,10.0,8.0,3.0,3.0,8.0,2.0,13.0,3.0,1.0,3.0,4.0,14.0,3.0,0.0,1.0,1.0,109.0,13.0,6.0,4.0,9.0,7.0,1.0,1.0,7.0,7.0,1.0,0.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
