tag,count,Cumulative word frequency,
civic tech,12,12898,59.27%
awesome,12,12910,59.33%
tailwindcss,12,12922,59.38%
mobile app,12,12934,59.44%
nuxtjs,12,12946,59.49%
backend,12,12958,59.55%
ruby,12,12970,59.60%
france,12,12982,59.66%
image classification,12,12994,59.71%
ble,12,13006,59.77%
detection,11,13017,59.82%
science,11,13028,59.87%
novel coronavirus 2019,11,13039,59.92%
pneumonia,11,13050,59.97%
epidemic model,11,13061,60.02%
plot,11,13072,60.07%
bert,11,13083,60.12%
timeseries forecasting,11,13094,60.17%
plotly dash,11,13105,60.22%
disease spread,11,13116,60.27%
knowledge graph,11,13127,60.32%
ct,11,13138,60.37%
italia,11,13149,60.42%
notification,11,13160,60.48%
education,11,13171,60.53%
jekyll,11,13182,60.58%
scrapping,11,13193,60.63%
ui,11,13204,60.68%
chest xray,11,13215,60.73%
keras tensorflow,11,13226,60.78%
africa covid 19,11,13237,60.83%
x ray images,11,13248,60.88%
spain,11,13259,60.93%
bangladesh,11,13270,60.98%
covid 19 us,11,13281,61.03%
mexico,11,13292,61.08%
agent based simulation,11,13303,61.13%
restful api,11,13314,61.18%
expo,11,13325,61.23%
google,11,13336,61.28%
face mask detection,11,13347,61.33%
jquery,10,13357,61.38%
wuhan coronavirus outbreak,10,13367,61.43%
seir,10,13377,61.47%
chile,10,13387,61.52%
information,10,13397,61.56%
2019 ncov data vis,10,13407,61.61%
wuhan virus,10,13417,61.66%
world,10,13427,61.70%
sass,10,13437,61.75%
github actions,10,13447,61.79%
worldometers,10,13457,61.84%
monitoring,10,13467,61.89%
altair,10,13477,61.93%
covid19 uk,10,13487,61.98%
corona api,10,13497,62.02%
community,10,13507,62.07%
wirvsvirus2020,10,13517,62.12%
serverless,10,13527,62.16%
twitter api,10,13537,62.21%
coronavirus india,10,13547,62.25%
geojson,10,13557,62.30%
acrt,10,13567,62.35%
kaggle,10,13577,62.39%
bokeh,10,13587,62.44%
mysql,10,13597,62.48%
chest xray images,10,13607,62.53%
flask application,10,13617,62.58%
bs4,10,13627,62.62%
sqlite,10,13637,62.67%
streamlit,10,13647,62.71%
automation,10,13657,62.76%
selenium,10,13667,62.81%
sars,9,13676,62.85%
who,9,13685,62.89%
github pages,9,13694,62.93%
rpackage,9,13703,62.97%
infection,9,13712,63.01%
amazon,9,13721,63.05%
mongoose,9,13730,63.09%
matlab,9,13739,63.14%
corona sdk,9,13748,63.18%
privacy,9,13757,63.22%
azure,9,13766,63.26%
coroutines,9,13775,63.30%
react router,9,13784,63.34%
mvvm android,9,13793,63.38%
discord js,9,13802,63.43%
germany,9,13811,63.47%
volunteers,9,13820,63.51%
web,9,13829,63.55%
game,9,13838,63.59%
material design,9,13847,63.63%
docker compose,9,13856,63.67%
covid 19 mexico,9,13865,63.71%
macos,9,13874,63.76%
vuetify,9,13883,63.80%
eda,9,13892,63.84%
spring,9,13901,63.88%
apple,9,13910,63.92%
medical imaging,8,13918,63.96%
wuhan support,8,13926,64.00%
echarts,8,13934,64.03%
heatmap,8,13942,64.07%
vgg16,8,13950,64.11%
api service,8,13958,64.14%
covid 19 bangladesh,8,13966,64.18%
diagnosis,8,13974,64.22%
react components,8,13982,64.25%
simulator,8,13990,64.29%
elasticsearch,8,13998,64.33%
symptoms,8,14006,64.36%
twilio,8,14014,64.40%
covid19 germany,8,14022,64.44%
colombia,8,14030,64.47%
hooks,8,14038,64.51%
peru,8,14046,64.55%
herokuapp,8,14054,64.58%
pikobar,8,14062,64.62%
time series analysis,8,14070,64.66%
morocco,8,14078,64.69%
